Tipo,Orgao,DataCriacao,Assunto,Subdivisao,Situacao,Logradouro,Bairro,Regional,DataResposta,Origem,source_year
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,12/03/2023,Drenagem,Alagamentos,Concluído,AVENIDA JAIME REIS,SAO FRANCISCO,Unidade Regional Matriz,14/03/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA DAVENIR MARQUES VIANA,CAMPO DE SANTANA,Unidade Regional Tatuquara,09/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,28/10/2023,Drenagem,Alagamentos,Concluído,RUA OLÍMPIO DE PAULA XAVIER,ALTO BOQUEIRAO,Unidade Regional Boqueirao,21/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,09/10/2023,Drenagem,Alagamentos,Concluído,RUA JOSÉ PILOTO,PINHEIRINHO,Unidade Regional Pinheirinho,19/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,03/11/2023,Drenagem,Alagamentos,Concluído,Delegado Bruno de Almeida,CAMPO DE SANTANA,Unidade Regional Tatuquara,13/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,Rua Rio Bom,SAO BRAZ,Unidade Regional Santa Felicidade,24/11/2023,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,Rua Bernardo Meyer,CIDADE INDUSTRIAL,Unidade Regional CIC,01/02/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,07/10/2023,Drenagem,Alagamentos,Concluído,RUA MANOELA STIER REISS,UBERABA,Unidade Regional Cajuru,11/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Joaquim de Freitas,BOQUEIRAO,Unidade Regional Boqueirao,28/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,09/08/2023,Drenagem,Alagamentos,Concluído,RUA CORONEL ALFREDO FERREIRA DA COSTA,JARDIM DAS AMERICAS,Unidade Regional Cajuru,14/08/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,09/10/2023,Drenagem,Alagamentos,Concluído,RUA BENJAMIN GELINSKI,UBERABA,Unidade Regional Cajuru,11/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,26/09/2023,Drenagem,Alagamentos,Concluído,RUA ARTHUR MANOEL IWERSEN,BOQUEIRAO,Unidade Regional Boqueirao,27/09/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,Rua Doutor José Guilherme Loyola,CIDADE INDUSTRIAL,Unidade Regional CIC,01/02/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,Rua Heron Wanderley,TATUQUARA,Unidade Regional Tatuquara,19/01/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/11/2023,Drenagem,Alagamentos,Concluído,Rua Doutor Faruk Abrão Kalil,BUTIATUVINHA,Unidade Regional Santa Felicidade,30/11/2023,Telefone,2023
